Time AlB BC AlC AlB2 err
0 0.17123 0 0 0.3076 0
10.0003 0.375212 0.091459 0.0803381 0.0235006 1.29296e-11
20.0003 0.316575 0.159933 0.143661 0.0185803 8.43517e-12
30.0003 0.271164 0.212654 0.192421 0.0149224 5.85112e-12
40.0003 0.234864 0.254485 0.231122 0.0121543 4.24811e-12
50.0003 0.205157 0.288432 0.26254 0.0100314 3.19493e-12
60.0003 0.180403 0.316469 0.28849 0.00838661 2.47065e-12
70.0003 0.159482 0.339951 0.310215 0.00710227 1.95415e-12
80.0003 0.141599 0.359844 0.328601 0.00609324 1.57461e-12
90.0003 0.126172 0.376856 0.344298 0.00529677 1.28872e-12
100 0.112761 0.391518 0.357794 0.00466584 1.06862e-12
110 0.101029 0.404241 0.369466 0.00416471 8.9597e-13
120 0.0907119 0.415344 0.379608 0.0037659 7.58668e-13
130 0.0815973 0.425081 0.388455 0.0034481 6.47645e-13
140 0.0735143 0.433657 0.396196 0.00319461 5.56917e-13
150 0.0663223 0.441238 0.402988 0.0029923 4.81984e-13
160 0.0599051 0.447961 0.408956 0.00283071 4.19494e-13
170 0.0541651 0.453941 0.41421 0.00270155 3.66846e-13
180 0.0490198 0.459273 0.418837 0.00259815 3.22108e-13
190 0.0443993 0.464038 0.422916 0.00251515 2.84124e-13
200 0.0402431 0.468304 0.42651 0.00244825 2.51329e-13
210 0.0364996 0.472131 0.429677 0.00239394 2.23036e-13
220 0.0331235 0.475569 0.432464 0.0023494 1.98541e-13
230 0.0300756 0.478661 0.434913 0.00231233 1.77059e-13
240 0.0273215 0.481446 0.437062 0.00228086 1.58219e-13
